# Source: The most and least educated US states, ranked by the share of adults with a bachelor's degree or higher
# By Kristine Villarroel
# The US average of adults aged 25 and older with a bachelor's degree or higher is 36.8%. Leigh Trail/Shutterstock
# May 28, 2026, 9:07 AM ET
# Business Insider analyzed the latest US Census Bureau data on the percentage of adults 25 and older in all 50 states who have earned a bachelor's degree or higher. We used that measure to rank the states by educational attainment for this list.
# https://www.businessinsider.com/most-least-educated-states-bachelors-degrees-or-higher#50-west-virginia-1
#
# Processed: 2026-05-29
# EducationRank: 1 = most educated (highest bachelor's+ %), 50 = least educated
# Note: Ranks recalculated from BachelorsDegreeShare due to markdown numbering issues
#
StateName,EducationRank,BachelorsDegreeShare,GraduateProfessionalDegreeShare
Massachusetts,1,48.3,22.6
Colorado,2,47.8,NA
Vermont,3,45.1,NA
Maryland,4,44.7,21.5
New Jersey,5,44.5,NA
Virginia,6,43.3,NA
Connecticut,7,42.6,19.3
New Hampshire,8,41.5,NA
New York,9,41.2,NA
Washington,10,41,NA
Minnesota,11,40,12
Illinois,12,39.2,NA
Utah,13,39.1,NA
Rhode Island,14,39,NA
California,15,38.1,NA
Oregon,16,37.8,NA
Hawaii,17,37.8,NA
Maine,18,37.1,NA
North Carolina,19,37.1,NA
Pennsylvania,20,36.4,NA
Montana,21,36.3,12
Georgia,22,36.3,NA
Delaware,23,36,NA
Kansas,24,36,NA
Florida,25,35.8,NA
Nebraska,26,35.4,11.3
Texas,27,35.2,NA
Arizona,28,34.7,NA
Wisconsin,29,34.6,NA
South Dakota,30,34.2,NA
North Dakota,31,34,NA
Missouri,32,33.5,NA
South Carolina,33,33.3,NA
Michigan,34,33.3,NA
Idaho,35,33,NA
Alaska,36,32.8,NA
Ohio,37,32.4,NA
Tennessee,38,32.4,NA
Wyoming,39,32.3,NA
Iowa,40,32.1,NA
New Mexico,41,31.8,NA
Indiana,42,30.7,NA
Alabama,43,29.9,NA
Oklahoma,44,29.3,NA
Nevada,45,28.5,10.1
Kentucky,46,27.9,NA
Louisiana,47,27.8,NA
Arkansas,48,27.1,10
Mississippi,49,27,NA
West Virginia,50,24.4,NA
