# 2024 US Presidential Election Results by State,,,,,,,,,,,,,
# Source: https://en.wikipedia.org/wiki/2024_United_States_presidential_election#Results_by_state,,,,,,,,,,,,,
# Date accessed: 2026-05-29,,,,,,,,,,,,,
#,,,,,,,,,,,,,
# Required columns:,,,,,,,,,,,,,
# StateName - State name (must match education data exactly),,,,,,,,,,,,,
# DemocraticVoteShare - Democratic candidate vote percentage (0-100),,,,,,,,,,,,,
# RepublicanVoteShare - Republican candidate vote percentage (0-100),,,,,,,,,,,,,
# DemocraticCandidate - Democratic candidate name,,,,,,,,,,,,,
# RepublicanCandidate - Republican candidate name,,,,,,,,,,,,,
# TotalVotes - Total votes cast (optional),,,,,,,,,,,,,
#,,,,,,,,,,,,,
StateName,DemocraticVoteShare,RepublicanVoteShare,GreenVoteShare,IndependentVoteShare,LibertarianVoteShare,OtherVoteShare,Margin,MarginSwingVs2020,DemocraticCandidate,RepublicanCandidate,DemocraticVote,RepublicanVote,TotalVotes
Alabama,34.1,64.57,0.19,0.53,0.22,0.39,30.47,5.01,Harris,Trump,772412,1462616,2265090
Alaska,41.41,54.54,0.69,1.68,0.9,0.78,13.13,3.07,Harris,Trump,140026,184458,338177
Arizona,46.69,52.22,0.54,,0.53,0.02,5.53,5.84,Harris,Trump,1582860,1770242,3390161
Arkansas,33.56,64.2,0.36,1.12,0.48,0.28,30.64,3.02,Harris,Trump,396905,759241,1182676
California,58.47,38.33,1.06,1.25,0.42,0.48,-20.14,9.02,Harris,Trump,9276179,6081697,15865475
Colorado,54.13,43.14,0.54,1.12,0.67,0.4,-10.99,2.51,Harris,Trump,1728159,1377441,3192745
Connecticut,56.4,41.89,0.81,0.48,0.38,0.03,-14.51,5.56,Harris,Trump,992053,736918,1759010
Delaware,56.49,41.79,0.18,0.9,0.4,0.24,-14.7,4.27,Harris,Trump,289758,214351,512912
D.C.,90.28,6.47,,0.85,,2.4,-83.81,2.94,Harris,Trump,294185,21076,325869
Florida,42.99,56.09,0.4,,0.29,0.23,13.1,9.74,Harris,Trump,4683038,6110125,10893752
Georgia,48.53,50.72,0.35,,0.39,0.02,2.19,2.42,Harris,Trump,2548017,2663117,5250905
Hawaii,60.59,37.48,0.85,,0.53,0.56,-23.11,6.35,Harris,Trump,313044,193661,516701
