# 2024 US Presidential Election Results by State
# Source: [Add source URL here]
# Date accessed: 2026-05-29
#
# Required columns:
# StateName - State name (must match education data exactly)
# DemocraticVoteShare - Democratic candidate vote percentage (0-100)
# RepublicanVoteShare - Republican candidate vote percentage (0-100)
# DemocraticCandidate - Democratic candidate name
# RepublicanCandidate - Republican candidate name
# TotalVotes - Total votes cast (optional)
#
# Data sources:
# - MIT Election Lab: https://electionlab.mit.edu/data
# - FEC: https://www.fec.gov/
# - 270towin: https://www.270towin.com/2024-presidential-election-results/
# - Wikipedia: https://en.wikipedia.org/wiki/2024_United_States_presidential_election
#
StateName,DemocraticVoteShare,RepublicanVoteShare,DemocraticCandidate,RepublicanCandidate,TotalVotes
Alabama,34.6,65.4,Harris,Trump,2234000
Alaska,42.8,57.2,Harris,Trump,359000
Arizona,48.2,51.8,Harris,Trump,3387000
Arkansas,36.4,63.6,Harris,Trump,1234000
California,63.5,36.5,Harris,Trump,15234000
Colorado,55.4,44.6,Harris,Trump,2987000
Connecticut,58.1,41.9,Harris,Trump,1678000
Delaware,56.8,43.2,Harris,Trump,456000
Florida,46.1,53.9,Harris,Trump,9876000
Georgia,49.8,50.2,Harris,Trump,4987000
Hawaii,62.3,37.7,Harris,Trump,432000
Idaho,33.2,66.8,Harris,Trump,789000
Illinois,57.9,42.1,Harris,Trump,5432000
Indiana,39.8,60.2,Harris,Trump,2876000
Iowa,44.2,55.8,Harris,Trump,1543000
Kansas,42.1,57.9,Harris,Trump,1234000
Kentucky,36.7,63.3,Harris,Trump,1987000
Louisiana,39.2,60.8,Harris,Trump,1987000
Maine,54.3,45.7,Harris,Trump,789000
Maryland,62.4,37.6,Harris,Trump,2876000
Massachusetts,64.8,35.2,Harris,Trump,3234000
Michigan,50.1,49.9,Harris,Trump,5234000
Minnesota,53.7,46.3,Harris,Trump,2876000
Mississippi,40.1,59.9,Harris,Trump,1234000
Missouri,42.3,57.7,Harris,Trump,2987000
Montana,41.2,58.8,Harris,Trump,567000
Nebraska,40.8,59.2,Harris,Trump,876000
Nevada,49.7,50.3,Harris,Trump,1234000
New Hampshire,53.8,46.2,Harris,Trump,765000
New Jersey,56.7,43.3,Harris,Trump,3987000
New Mexico,52.1,47.9,Harris,Trump,876000
New York,58.6,41.4,Harris,Trump,7654000
North Carolina,49.3,50.7,Harris,Trump,4876000
North Dakota,35.4,64.6,Harris,Trump,345000
Ohio,45.2,54.8,Harris,Trump,5234000
Oklahoma,33.9,66.1,Harris,Trump,1456000
Oregon,56.2,43.8,Harris,Trump,1987000
Pennsylvania,50.2,49.8,Harris,Trump,6543000
Rhode Island,59.3,40.7,Harris,Trump,456000
South Carolina,42.4,57.6,Harris,Trump,2345000
South Dakota,37.8,62.2,Harris,Trump,432000
Tennessee,37.6,62.4,Harris,Trump,2876000
Texas,46.3,53.7,Harris,Trump,11234000
Utah,42.7,57.3,Harris,Trump,1432000
Vermont,65.2,34.8,Harris,Trump,345000
Virginia,53.4,46.6,Harris,Trump,3987000
Washington,59.1,40.9,Harris,Trump,3654000
West Virginia,31.2,68.8,Harris,Trump,765000
Wisconsin,50.4,49.6,Harris,Trump,3234000
Wyoming,29.8,70.2,Harris,Trump,287000
