## Data sources and processing metadata
# File: extended_analysis_data.csv
# Generated by: scripts/extended_analysis_multivariate.py
# Date: 2026-06-02
#
# Variable sources:
# - StateName: from education_data_p.csv and election_2024_state.csv
# - BachelorsDegreeShare: from education_data_p.csv header-documented source chain
# - DemocraticVoteShare, RepublicanVoteShare: from election_2024_state.csv header-documented sources
# - UrbanPercent: manually entered representative values in this script; not loaded from an official source file
# - PopDensity: manually entered representative values in this script; not loaded from an official source file
# - MedianIncome: manually entered representative values in this script; not loaded from an official source file
# - WhitePercent: manually entered representative values in this script; not loaded from an official source file
# - MedianAge: manually entered representative values in this script; not loaded from an official source file
# - Region: derived in this script from U.S. Census regional classification by state
#
# Note: Only the education and election columns come from external project data files.
# Note: The remaining explanatory variables were entered in-code for exploratory modeling and should be replaced with sourced data before publication.
StateName,BachelorsDegreeShare,DemocraticVoteShare,RepublicanVoteShare,UrbanPercent,PopDensity,MedianIncome,WhitePercent,MedianAge,Region
Massachusetts,48.3,61.22,36.02,92.0,894.4,84.4,75.6,39.6,Northeast
Colorado,47.8,54.13,43.14,86.2,56.4,77.1,81.0,36.9,West
Vermont,45.1,63.83,32.32,38.9,68.0,63.0,94.2,43.0,Northeast
Maryland,44.7,62.62,34.08,87.2,636.0,86.7,58.2,38.6,South
New Jersey,44.5,51.97,46.06,94.7,1263.0,85.2,68.6,40.0,Northeast
Virginia,43.3,51.83,46.05,75.5,218.4,76.5,68.4,38.5,South
Connecticut,42.6,56.4,41.89,88.0,735.9,78.8,77.6,41.0,Northeast
New Hampshire,41.5,50.65,47.87,60.3,153.0,77.9,93.1,43.0,Northeast
New York,41.2,55.91,43.31,87.9,416.4,72.1,64.5,39.0,Northeast
Washington,41.0,57.23,39.01,84.1,117.0,78.7,77.3,37.9,West
Minnesota,40.0,50.92,46.68,73.3,71.5,74.0,83.8,38.1,Midwest
Illinois,39.2,54.37,43.47,88.5,228.5,69.2,71.5,38.1,Midwest
Utah,39.1,37.79,59.38,90.6,39.9,75.8,88.6,31.1,West
Rhode Island,39.0,55.54,41.76,90.9,1061.4,71.2,81.3,39.8,Northeast
California,38.1,58.47,38.33,95.0,253.7,78.7,52.5,36.7,West
Hawaii,37.8,60.59,37.48,91.9,221.8,83.1,25.5,39.2,West
Oregon,37.8,55.27,40.97,81.0,44.0,67.1,84.5,39.5,West
North Carolina,37.1,47.65,50.86,66.1,218.5,57.3,68.5,38.9,South
Maine,37.1,52.4,45.46,38.7,43.6,58.9,94.4,45.0,Northeast
Pennsylvania,36.4,48.66,50.37,78.7,286.5,63.5,80.5,40.8,Northeast
Georgia,36.3,48.53,50.72,75.1,185.6,61.2,59.4,36.9,South
Montana,36.3,38.46,58.39,55.9,7.5,57.2,88.8,40.1,West
Delaware,36.0,56.49,41.79,83.3,504.3,70.2,68.9,41.0,South
Kansas,36.0,41.04,57.16,74.2,35.9,62.1,83.1,36.7,Midwest
Florida,35.8,42.99,56.09,91.2,401.4,59.2,77.3,42.2,South
Nebraska,35.4,38.86,59.32,73.1,25.4,63.2,86.5,36.6,Midwest
Texas,35.2,42.46,56.14,84.7,113.0,64.0,70.4,34.8,South
Arizona,34.7,46.69,52.22,89.8,64.0,62.1,73.0,37.9,West
Wisconsin,34.6,48.74,49.6,70.2,108.0,64.2,86.2,39.7,Midwest
South Dakota,34.2,34.24,63.43,56.7,11.9,59.5,85.1,37.2,Midwest
North Dakota,34.0,30.51,66.96,59.9,11.3,65.3,87.1,35.3,Midwest
Missouri,33.5,40.08,58.49,70.4,89.5,57.4,82.2,38.7,Midwest
Michigan,33.3,48.31,49.73,74.7,177.6,59.6,78.6,39.8,Midwest
South Carolina,33.3,40.36,58.23,66.3,173.3,56.2,68.4,39.5,South
Idaho,33.0,30.38,66.87,70.6,22.0,60.9,90.7,36.9,West
Alaska,32.8,41.41,54.54,66.0,1.3,77.8,64.1,34.6,West
Ohio,32.4,43.93,55.14,77.9,287.5,58.6,81.0,39.5,Midwest
Tennessee,32.4,34.47,64.19,66.4,167.8,56.1,77.6,38.7,South
Wyoming,32.3,25.84,71.6,64.7,5.9,65.0,91.4,37.9,West
Iowa,32.1,42.52,55.73,64.0,56.9,61.7,90.0,38.1,Midwest
New Mexico,31.8,51.85,45.85,77.4,17.4,51.9,71.4,37.9,West
Indiana,30.7,39.62,58.58,72.4,188.9,58.2,84.3,37.7,Midwest
Alabama,29.9,34.1,64.57,59.0,96.9,52.0,68.5,39.0,South
Oklahoma,29.3,31.9,66.16,66.2,57.6,54.4,72.2,36.6,South
Nevada,28.5,47.49,50.59,94.2,28.5,63.3,64.9,38.4,West
Kentucky,27.9,33.94,64.47,58.4,113.9,52.3,87.5,38.9,South
Louisiana,27.8,38.21,60.22,73.2,107.5,51.1,61.8,37.2,South
Arkansas,27.1,33.56,64.2,56.2,57.9,49.5,76.0,38.3,South
Mississippi,27.0,38.0,60.89,49.4,63.7,45.8,58.8,37.7,South
West Virginia,24.4,28.1,69.97,48.7,73.9,48.9,93.5,43.0,South
